sample_id	family	Surface	rela
CAR1_ita_i	Leptospiraceae	carcass	3.950736116417418e-5
CAR1_ita_i	Leptotrichiaceae	carcass	1.4719859138299558e-4
CAR1_ita_i	Lichenihabitantaceae	carcass	4.264999216586986e-6
CAR1_ita_i	Limnochordaceae	carcass	4.994538556266339e-6
CAR1_ita_i	Listeriaceae	carcass	1.422601712374738e-4
CAR1_ita_i	Litorivicinaceae	carcass	3.3109862339293706e-6
CAR1_ita_i	Lysobacteraceae	carcass	0.02056689247218659
CAR1_ita_i	Magnetococcaceae	carcass	2.8059205372282804e-6
CAR1_ita_i	Magnetospirillaceae	carcass	5.499604252967429e-6
CAR1_ita_i	Magnetovibrionaceae	carcass	2.5253284835054524e-6
CAR1_ita_i	Maliibacteriaceae	carcass	1.3187826524972917e-5
CAR1_ita_i	Mangrovivirgaceae	carcass	8.922827308385932e-6
CAR1_ita_i	Maricaulaceae	carcass	2.3289140458994726e-5
CAR1_ita_i	Marinifilaceae	carcass	2.2722344510474614e-4
CAR1_ita_i	Marinilabiliaceae	carcass	4.0208841298481257e-4
CAR1_ita_i	Marinobacteraceae	carcass	8.428985293833755e-5
CAR1_ita_i	Mariprofundaceae	carcass	6.229143592646782e-6
CAR1_ita_i	Marivirgaceae	carcass	5.235847722467971e-5
CAR1_ita_i	Melioribacteraceae	carcass	1.2009339899337039e-5
CAR1_ita_i	Merismopediaceae	carcass	2.525328483505452e-6
CAR1_ita_i	Mesoaciditogaceae	carcass	2.30085484052719e-6
CAR1_ita_i	Metamycoplasmataceae	carcass	1.2722043715793024e-4
CAR1_ita_i	Methylacidiphilaceae	carcass	6.6780908786033075e-6
CAR1_ita_i	Methylobacteriaceae	carcass	2.45069099721518e-4
CAR1_ita_i	Methylococcaceae	carcass	6.917716492482602e-4
CAR1_ita_i	Methylocystaceae	carcass	5.1797293117234056e-5
CAR1_ita_i	Methylophilaceae	carcass	8.939662831609301e-5
CAR1_ita_i	Methylopilaceae	carcass	1.0494142809233768e-5
CAR1_ita_i	Methylothermaceae	carcass	8.922827308385932e-6
CAR1_ita_i	Microbacteriaceae	carcass	0.023097383849480548
CAR1_ita_i	Microbulbiferaceae	carcass	6.812775064390265e-5
CAR1_ita_i	Micrococcaceae	carcass	0.05701512682985302
CAR1_ita_i	Microcoleaceae	carcass	9.035064129875063e-6
CAR1_ita_i	Microcystaceae	carcass	7.070919753815267e-6
CAR1_ita_i	Micromonosporaceae	carcass	8.045135364340925e-4
CAR1_ita_i	Microscillaceae	carcass	0
CAR1_ita_i	Microvenatoraceae	carcass	3.423223055418502e-6
CAR1_ita_i	Miltoncostaeaceae	carcass	1.1223682148913122e-5
CAR1_ita_i	Minwuiaceae	carcass	2.244736429782624e-7
CAR1_ita_i	Monoglobaceae	carcass	2.132499608293493e-5
CAR1_ita_i	Moorellaceae	carcass	1.4029602686141401e-5
CAR1_ita_i	Moraxellaceae	carcass	0.19599691663004004
CAR1_ita_i	Morganellaceae	carcass	6.432853423649556e-4
CAR1_ita_i	Moritellaceae	carcass	1.5095852490288148e-5
CAR1_ita_i	Mucispirillaceae	carcass	4.994538556266339e-6
CAR1_ita_i	Muribaculaceae	carcass	1.538766822615989e-4
CAR1_ita_i	Mycobacteriaceae	carcass	0.0013438675821001126
CAR1_ita_i	Mycoplasmataceae	carcass	7.306617078942441e-5
CAR1_ita_i	Mycoplasmoidaceae	carcass	1.4534668382842491e-5
CAR1_ita_i	Myxococcaceae	carcass	2.841836320104802e-4
CAR1_ita_i	Nakamurellaceae	carcass	4.629768886426663e-5
CAR1_ita_i	Nannocystaceae	carcass	1.5937628651456632e-5
CAR1_ita_i	Natranaerobiaceae	carcass	1.0157432344766375e-5
CAR1_ita_i	Natranaerofabaceae	carcass	9.82072188029898e-6
CAR1_ita_i	Natronincolaceae	carcass	1.8462957134962084e-4
CAR1_ita_i	Nautiliaceae	carcass	2.2391245887081674e-5
CAR1_ita_i	Neisseriaceae	carcass	0.0074163846903588125
CAR1_ita_i	Nevskiaceae	carcass	5.555722663711995e-5
CAR1_ita_i	Nitratiruptoraceae	carcass	1.8687430777940346e-5
CAR1_ita_i	Nitrobacteraceae	carcass	5.031015523250307e-4
CAR1_ita_i	Nitrosomonadaceae	carcass	5.976610744296237e-5
CAR1_ita_i	Nitrospinaceae	carcass	4.152762395097855e-6
CAR1_ita_i	Nitrospiraceae	carcass	2.1830061779636023e-5
CAR1_ita_i	Nocardiaceae	carcass	0.0011893735973203235
CAR1_ita_i	Nocardioidaceae	carcass	0.0014454419055477763
CAR1_ita_i	Nocardiopsidaceae	carcass	9.972241589309308e-5
CAR1_ita_i	Nodosilineaceae	carcass	5.050656967010904e-6
CAR1_ita_i	Nostocaceae	carcass	7.873413027462554e-5
CAR1_ita_i	Novispirillaceae	carcass	3.0865125909511085e-6
